node,theta,conviction,adopted,adopted_at,exposures,is_seed
482,0.6879597478162203,0.0,False,,0,False
483,0.4221806803227536,0.10095990290228704,False,,3,False
484,0.35725390367683013,0.0,False,,0,False
485,0.26327413195745064,0.0,False,,0,False
486,0.6524892940490439,0.0,False,,0,False
487,0.25164729936105307,0.057040893845047874,False,,1,False
488,0.192917044642545,0.10971809089444981,False,,3,False
489,0.2470008382321918,0.09407013766517075,False,,2,False
490,0.3054616069151825,0.0,False,,0,False
491,0.11710488540009947,0.23200596771431353,True,13,3,False
492,0.7801571266200765,0.14729880088286992,False,,2,False
493,0.20599794601362004,0.25291014454267247,True,40,3,False
494,0.11923582287344842,0.14160041450498545,True,40,2,False
495,0.27250174107091496,0.7083442222256648,True,36,6,False
496,0.0023567604541805676,0.48698192796732187,True,13,4,False
497,0.5577057871581477,0.12528575459786767,False,,3,False
498,0.6036336535957358,0.143666558762646,False,,4,False
499,0.30984298794611087,0.0,False,,0,False
500,0.1160485494262633,0.1569381665222393,True,32,4,False
501,0.7763975444280328,0.24309630678572464,False,,2,False
502,0.7354015936654604,0.1251729044043336,False,,2,False
503,0.3826699543813463,0.42183318026617006,True,40,4,False
504,0.756321839365522,0.0,False,,0,False
505,0.26848357594330174,0.43823318223566454,True,41,3,False
506,0.2681821265424807,0.10808734095793888,False,,4,False
507,0.7169077179706821,0.0,False,,0,False
508,0.7562699252773681,0.07988949665594992,False,,1,False
509,0.3064135176592488,0.3284887263788731,True,40,3,False
510,0.8077059246582046,0.20901388811877072,False,,4,False
511,0.1362527018826607,0.13393354779464756,False,,3,False
512,0.26285990842136464,0.0,False,,0,False
513,0.16372552707552002,0.0,False,,0,False
514,0.7874027628785223,0.0,False,,0,False
515,0.29390529689518535,0.21786407311156958,False,,3,False
516,0.7683951523894816,0.2659246767933042,False,,4,False
517,0.7635689832574728,0.0,False,,0,False
518,0.6839301349682464,0.0,False,,0,False
519,0.8293232204470491,0.0,False,,0,False
520,0.0,0.0,False,,0,False
521,0.35798065459337125,0.29577722670245743,False,,1,False
522,0.7041818265719313,0.3266968221026977,False,,4,False
523,0.6758813705287002,0.0,False,,0,False
524,0.9125030783313115,0.0,False,,0,False
525,0.984440634754988,0.21912156051575787,False,,3,False
526,0.8587039938816159,0.16086402033111752,False,,4,False
527,0.7657089921329786,0.0,False,,0,False
528,0.32471920533584236,0.08319297956399105,False,,4,False
529,0.0,0.0,False,,0,False
530,0.7733136937617906,0.0,False,,0,False
531,0.695572094060904,0.29612487762324097,False,,5,False
532,0.2501993828297509,0.0,False,,0,False
533,0.16084875778837338,0.0,False,,0,False
534,0.8510498238127031,0.45363048326115873,False,,5,False
535,0.23808483093786373,0.12675592852455175,False,,2,False
536,0.13280878717955746,0.0,False,,0,False
537,0.5190556100219308,0.0,False,,0,False
538,0.26815209550330593,0.0,False,,0,False
539,0.7236222477133779,0.38201955405495625,False,,4,False
540,0.3769340905263492,0.0,False,,0,False
541,0.5590060061708331,0.0,False,,0,False
542,0.22606078806867805,0.0,False,,0,False
543,0.8009828044065744,0.20473101278018424,False,,3,False
544,0.08778032096384966,0.0,False,,0,False
545,0.16833998027790703,0.16553811652857695,False,,4,False
546,0.21141342335053714,0.0,False,,0,False
547,0.6310399245757785,0.0,False,,0,False
548,0.3380731587068602,0.05601473468396421,False,,2,False
549,0.354554613037265,0.0,False,,0,False
